
央卫V4-爱尚,#genre#

CCTV4K,http://223.105.252.60/PLTV/4/224/3221228228/index.m3u8?servicetype=1
CCTV4K,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1


CCTV1,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV1
CCTV2,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV2
CCTV3,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV3
CCTV4,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV4
CCTV5,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5
CCTV5+,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5p
CCTV6,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV6
CCTV7,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV7
CCTV8,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV8
CCTV9,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV9
CCTV10,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV10
CCTV11,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV11
CCTV12,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV12
CCTV13,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV13
CCTV14,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV14
CCTV15,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV15
CCTV17,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV17

CCTV1,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=15654890039634427536
CCTV1,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=1587240374177179388
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=18203640774999492907
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=18203640774999492907&amp
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=2038291520205345979
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=4547519954471704013
CCTV3,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-3hd/2500.m3u8?innersid=9476609640263440821
CCTV5,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-5hd/2500.m3u8?innersid=4790815411650771981
CCTV6,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-6hd/2500.m3u8?innersid=14916759019483157794
CCTV7,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-7hd/2500.m3u8?innersid=12706415551557919057
CCTV7,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-7hd/2500.m3u8?innersid=12706415551557919057&amp
CCTV8,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-8hd/2500.m3u8?innersid=15852265263958669967
CCTV9,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-9hd/2500.m3u8?innersid=17686352686599982856
CCTV9,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-9hd/2500.m3u8?innersid=17686352686599982856&amp
CCTV10,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=9053765528789506188
CCTV10,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=9053765528789506188
CCTV12,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=8190402369178717730
CCTV12,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=8190402369178717730
CCTV14,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=10749977474028640862
CCTV14,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=10749977474028640862
CCTV17,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=2038717225283627700
CCTV17,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=2038717225283627700

CCTV1,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=ace
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=ace
CCTV3,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-3hd/2500.m3u8?innersid=ace
CCTV4,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-4sd/1500.m3u8?innersid=ace
CCTV5,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-5hd/2500.m3u8?innersid=ace
CCTV5+,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5p
CCTV6,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-6hd/2500.m3u8?innersid=ace
CCTV7,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-7hd/2500.m3u8?innersid=ace
CCTV8,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-8hd/2500.m3u8?innersid=ace
CCTV9,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-9hd/2500.m3u8?innersid=ace
CCTV10,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=ace
CCTV11,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-11sd/1500.m3u8?innersid=ace
CCTV12,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=ace
CCTV13,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-newssd/1500.m3u8?innersid=ace
CCTV14,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=ace
CCTV15,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-yysd/1500.m3u8?innersid=ace
CCTV17,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=ace

CCTV1,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=15654890039634427536&amp
CCTV1,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=1587240374177179388&amp
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=18203640774999492907&amp
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=2038291520205345979&amp
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=18203640774999492907&amp
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=2038291520205345979&amp
CCTV2,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-2hd/2500.m3u8?innersid=4547519954471704013&amp
CCTV3,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-3hd/2500.m3u8?innersid=9476609640263440821&amp
CCTV4,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV4
CCTV5,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-5hd/2500.m3u8?innersid=4790815411650771981&amp
CCTV5+,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5p
CCTV6,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-6hd/2500.m3u8?innersid=14916759019483157794&amp
CCTV7,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-7hd/2500.m3u8?innersid=12706415551557919057&amp
CCTV8,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-8hd/2500.m3u8?innersid=15852265263958669967&amp
CCTV9,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-9hd/2500.m3u8?innersid=17686352686599982856&amp
CCTV10,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-10hd/2500.m3u8?innersid=9053765528789506188&amp
CCTV11,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV11
CCTV12,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-12hd/2500.m3u8?innersid=8190402369178717730&amp
CCTV13,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV13
CCTV14,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-14hd/2500.m3u8?innersid=10749977474028640862&amp
CCTV17,http://cc-ynbit-wszhibo.ifengli.com:2000/live/cctv-17hd/2500.m3u8?innersid=2038717225283627700&amp

CCTV1,http://www.itms-link.asia:4502/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://www.itms-link.asia:4502/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://www.itms-link.asia:4502/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://www.itms-link.asia:4502/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://www.itms-link.asia:4502/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5p
CCTV6,http://www.itms-link.asia:4502/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://www.itms-link.asia:4502/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://www.itms-link.asia:4502/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV9
CCTV10,http://www.itms-link.asia:4502/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV10
CCTV11,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV11
CCTV12,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV12
CCTV13,http://www.itms-link.asia:4502/tsfile/live/0010_1.m3u8?key=txiptv

CCTV1,http://223.105.252.60/PLTV/4/224/3221228049/index.m3u8?servicetype=1
CCTV2,http://223.105.252.60/PLTV/4/224/3221228118/index.m3u8?servicetype=1
CCTV2,http://223.105.252.60/PLTV/4/224/3221228720/index.m3u8?servicetype=1
CCTV3,http://223.105.252.60/PLTV/4/224/3221228188/index.m3u8?servicetype=1
CCTV3,http://223.105.252.60/PLTV/4/224/3221228237/index.m3u8?servicetype=1
CCTV4,http://223.105.252.60/PLTV/4/224/3221228156/index.m3u8?servicetype=1
